product_name,price,url
Off-white Striped Caponi,Rp 349.000,/collections/women/products/off-white-striped-caponi
Off-white Jardin Devon,Rp 349.000,/collections/women/products/off-white-jardin-devon
Off-white Jardin Fehren,Rp 279.000,/collections/women/products/off-white-jardin-fehren
Off-white Jardin Kapov,Rp 429.000,/collections/women/products/off-white-jardin-kapov
Off-white Jardin Tengo,Rp 369.000,/collections/women/products/off-white-jardin-tengo
Dark Denim Woodall,Rp 369.000,/collections/women/products/dark-denim-woodall
Pink Ortiz,Rp 379.000,/collections/women/products/pink-ortiz
Navy Striped Nadege,Rp 349.000,/collections/women/products/navy-striped-nadege
Pink Ambika,Rp 299.000,/collections/women/products/pink-ambika
Off-white Krolla,Rp 249.000,/collections/women/products/off-white-krolla
Off-white Jardin Faure,Rp 349.000,/collections/women/products/off-white-jardin-faure
Off-white Jardin Oriane,Rp 259.000,/collections/women/products/off-white-jardin-oriane
Off-white Rubinski,Rp 279.000,/collections/women/products/off-white-rubinski
Off-white Delius,Rp 299.000,/collections/women/products/off-white-delius
